iter	Passed	Remaining
0	154	30758
1	164	16315
2	174	11455
3	184	9064
4	194	7593
5	206	6683
6	217	6000
7	227	5458
8	237	5045
9	248	4730
10	258	4440
11	269	4217
12	281	4048
13	291	3869
14	301	3723
15	314	3615
16	327	3521
17	336	3405
18	347	3313
19	359	3234
20	368	3144
21	380	3080
22	392	3019
23	403	2959
24	417	2924
25	431	2889
26	442	2836
27	454	2794
28	466	2749
29	478	2710
30	489	2670
31	499	2624
32	512	2592
33	524	2558
34	535	2525
35	544	2481
36	555	2447
37	566	2416
38	577	2383
39	589	2356
40	600	2330
41	611	2298
42	622	2272
43	632	2242
44	641	2210
45	652	2184
46	662	2156
47	672	2129
48	685	2111
49	696	2089
50	707	2066
51	720	2049
52	732	2031
53	742	2006
54	751	1982
55	763	1963
56	774	1943
57	785	1922
58	796	1902
59	808	1886
60	817	1863
61	830	1848
62	842	1831
63	852	1811
64	865	1796
65	876	1779
66	886	1759
67	898	1744
68	910	1729
69	921	1711
70	930	1691
71	942	1676
72	953	1658
73	963	1641
74	975	1626
75	987	1610
76	998	1595
77	1009	1578
78	1021	1564
79	1031	1547
80	1041	1530
81	1051	1513
82	1063	1499
83	1075	1485
84	1086	1469
85	1096	1454
86	1106	1437
87	1117	1422
88	1127	1406
89	1137	1390
90	1148	1376
91	1158	1360
92	1169	1345
93	1181	1331
94	1193	1319
95	1203	1303
96	1217	1293
97	1229	1279
98	1241	1266
99	1250	1250
100	1261	1236
101	1272	1222
102	1281	1207
103	1292	1193
104	1303	1179
105	1313	1165
106	1324	1151
107	1335	1137
108	1346	1123
109	1357	1110
110	1367	1096
111	1377	1082
112	1388	1069
113	1399	1055
114	1409	1041
115	1420	1028
116	1429	1014
117	1440	1001
118	1452	988
119	1461	974
120	1473	961
121	1485	949
122	1497	937
123	1509	925
124	1520	912
125	1531	899
126	1540	885
127	1553	873
128	1566	862
129	1579	850
130	1591	838
131	1604	826
132	1617	814
133	1631	803
134	1644	791
135	1657	780
136	1669	767
137	1679	754
138	1691	742
139	1701	729
140	1711	716
141	1724	704
142	1734	691
143	1744	678
144	1755	666
145	1765	653
146	1775	640
147	1787	628
148	1799	615
149	1808	602
150	1819	590
151	1830	577
152	1840	565
153	1851	552
154	1860	540
155	1871	527
156	1882	515
157	1891	502
158	1903	490
159	1915	478
160	1924	466
161	1935	453
162	1947	442
163	1958	430
164	1968	417
165	1980	405
166	1992	393
167	2004	381
168	2014	369
169	2025	357
170	2035	345
171	2046	333
172	2057	321
173	2067	308
174	2078	296
175	2088	284
176	2098	272
177	2110	260
178	2121	248
179	2131	236
180	2143	224
181	2154	213
182	2164	201
183	2174	189
184	2186	177
185	2195	165
186	2206	153
187	2217	141
188	2227	129
189	2237	117
190	2249	106
191	2259	94
192	2269	82
193	2280	70
194	2290	58
195	2302	46
196	2312	35
197	2323	23
198	2333	11
199	2344	0
