iter	Passed	Remaining
0	31	31536
1	52	26418
2	71	23788
3	90	22554
4	107	21489
5	126	20906
6	143	20369
7	162	20107
8	187	20607
9	207	20540
10	225	20318
11	243	20031
12	273	20748
13	293	20643
14	309	20356
15	332	20473
16	351	20345
17	370	20196
18	390	20140
19	407	19970
20	424	19792
21	456	20284
22	475	20178
23	491	20005
24	509	19866
25	525	19702
26	546	19687
27	564	19603
28	582	19511
29	600	19428
30	618	19342
31	636	19260
32	653	19155
33	673	19121
34	698	19245
35	717	19218
36	736	19170
37	753	19078
38	771	19014
39	789	18937
40	805	18848
41	822	18764
42	844	18797
43	864	18788
44	882	18727
45	900	18679
46	918	18620
47	936	18564
48	958	18606
49	978	18582
50	996	18533
51	1012	18467
52	1030	18415
53	1049	18383
54	1067	18333
55	1083	18272
56	1100	18208
57	1117	18153
58	1134	18100
59	1155	18095
60	1171	18033
61	1191	18026
62	1210	18004
63	1229	17975
64	1246	17930
65	1275	18052
66	1294	18022
67	1312	17985
68	1330	17953
69	1347	17904
70	1365	17861
71	1382	17818
72	1396	17728
73	1417	17741
74	1436	17718
75	1457	17724
76	1474	17679
77	1493	17653
78	1513	17647
79	1532	17627
80	1550	17596
81	1568	17559
82	1586	17522
83	1603	17490
84	1620	17448
85	1639	17419
86	1675	17585
87	1692	17541
88	1719	17603
89	1737	17569
90	1755	17531
91	1772	17489
92	1789	17456
93	1808	17429
94	1831	17447
95	1849	17411
96	1867	17381
97	1884	17344
98	1902	17312
99	1921	17291
100	1938	17252
101	1955	17219
102	1972	17177
103	1988	17134
104	2005	17097
105	2022	17057
106	2039	17021
107	2060	17020
108	2079	16994
109	2096	16966
110	2114	16938
111	2132	16908
112	2149	16873
113	2166	16835
114	2182	16797
115	2201	16779
116	2218	16742
117	2235	16711
118	2253	16686
119	2272	16664
120	2289	16634
121	2306	16601
122	2325	16581
123	2342	16552
124	2361	16530
125	2379	16504
126	2396	16474
127	2415	16452
128	2432	16421
129	2452	16415
130	2469	16383
131	2487	16358
132	2505	16333
133	2524	16318
134	2538	16266
135	2553	16223
136	2569	16183
137	2587	16161
138	2605	16136
139	2623	16114
140	2641	16092
141	2659	16071
142	2678	16052
143	2696	16031
144	2715	16010
145	2732	15985
146	2750	15957
147	2772	15958
148	2790	15936
149	2808	15917
150	2826	15893
151	2851	15911
152	2870	15888
153	2888	15866
154	2911	15869
155	2927	15838
156	2943	15807
157	2960	15775
158	2977	15749
159	2994	15723
160	3012	15698
161	3031	15679
162	3047	15649
163	3062	15609
164	3081	15594
165	3099	15570
166	3116	15544
167	3133	15517
168	3150	15492
169	3168	15467
170	3185	15441
171	3202	15418
172	3220	15392
173	3235	15361
174	3255	15346
175	3272	15320
176	3290	15298
177	3311	15292
178	3329	15271
179	3347	15248
180	3365	15226
181	3382	15202
182	3399	15175
183	3417	15155
184	3435	15136
185	3456	15128
186	3469	15085
187	3489	15073
188	3506	15044
189	3522	15017
190	3539	14990
191	3556	14967
192	3575	14949
193	3591	14920
194	3609	14901
195	3626	14874
196	3643	14850
197	3659	14822
198	3676	14799
199	3697	14789
200	3725	14810
201	3757	14845
202	3778	14835
203	3798	14820
204	3822	14823
205	3842	14808
206	3863	14801
